country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Austria,AT,AUT,8858775,25/10/2020,1225,174,Country_Website
Belgium,BE,BEL,11455519,25/10/2020,4825,756,Country_Website
Bulgaria,BG,BGR,7000039,25/10/2020,1976,138,External_Github
Czechia,CZ,CZE,10649800,25/10/2020,5613,828,Country_Website
Denmark,DK,DNK,5806081,25/10/2020,127,18,Country_Website
Estonia,EE,EST,1324820,25/10/2020,29,4,Country_API
France,FR,FRA,67012883,25/10/2020,16454,2575,Country_Website
Hungary,HU,HUN,9772756,25/10/2020,2449,221,JRC
Ireland,IE,IRL,4904240,25/10/2020,319,39,Country_Website
Italy,IT,ITA,60359546,25/10/2020,13214,1208,Country_Github
Latvia,LV,LVA,1919968,25/10/2020,146,,Country_Website
Luxembourg,LU,LUX,613894,25/10/2020,114,12,Country_Website
Netherlands,NL,NLD,17282163,25/10/2020,,537,Other Website
Portugal,PT,PRT,10276617,25/10/2020,1574,230,Country_Website
Romania,RO,ROU,19414458,25/10/2020,,828,Country_Website
Slovakia,SK,SVK,5450421,25/10/2020,1117,,JRC
Slovenia,SI,SVN,2080908,25/10/2020,508,73,Country_Github
United Kingdom,UK,GBR,66647112,25/10/2020,9199,,Country_Website
Austria,AT,AUT,8858775,24/10/2020,1177,175,Country_Website
Belgium,BE,BEL,11455519,24/10/2020,4408,694,Country_Website
Bulgaria,BG,BGR,7000039,24/10/2020,1886,127,External_Github
Czechia,CZ,CZE,10649800,24/10/2020,5345,800,Country_Website
Denmark,DK,DNK,5806081,24/10/2020,120,17,Country_Website
Estonia,EE,EST,1324820,24/10/2020,28,3,Country_API
France,FR,FRA,67012883,24/10/2020,15637,2491,Country_Website
Hungary,HU,HUN,9772756,24/10/2020,2245,205,JRC
Ireland,IE,IRL,4904240,24/10/2020,312,37,Country_Website
Italy,IT,ITA,60359546,24/10/2020,12415,1128,Country_Github
Latvia,LV,LVA,1919968,24/10/2020,127,,Country_Website
Luxembourg,LU,LUX,613894,24/10/2020,103,12,Country_Website
Netherlands,NL,NLD,17282163,24/10/2020,,525,Other Website
Portugal,PT,PRT,10276617,24/10/2020,1455,221,Country_Website
Romania,RO,ROU,19414458,24/10/2020,,787,Country_Website
Slovakia,SK,SVK,5450421,24/10/2020,920,,JRC
Slovenia,SI,SVN,2080908,24/10/2020,450,66,Country_Github
United Kingdom,UK,GBR,66647112,24/10/2020,8738,,Country_Website
Austria,AT,AUT,8858775,23/10/2020,1058,158,Country_Website
Belgium,BE,BEL,11455519,23/10/2020,4057,633,Country_Website
Bulgaria,BG,BGR,7000039,23/10/2020,1792,112,External_Github
Croatia,HR,HRV,4076246,23/10/2020,716,,Country_Website
Czechia,CZ,CZE,10649800,23/10/2020,5314,772,Country_Website
Denmark,DK,DNK,5806081,23/10/2020,125,18,Country_Website
Estonia,EE,EST,1324820,23/10/2020,27,3,Country_API
Finland,FI,FIN,5517919,23/10/2020,70,11,External_Github
France,FR,FRA,67012883,23/10/2020,14985,2432,Country_Website
Hungary,HU,HUN,9772756,23/10/2020,2209,200,JRC
Ireland,IE,IRL,4904240,23/10/2020,311,38,Country_Website
Italy,IT,ITA,60359546,23/10/2020,11598,1049,Country_Github
Latvia,LV,LVA,1919968,23/10/2020,113,,Country_Website
Luxembourg,LU,LUX,613894,23/10/2020,88,12,Country_Website
